,Aleph system number (001),Carrier type term (338 $a),Chronological subdivision - 1 (650 $y),Chronological subdivision - 2 (650 $y),Chronological subdivision - 3 (650 $y),Chronological subdivision - 4 (650 $y),Chronological subdivision - 5 (650 $y),Chronological subdivision - 6 (650 $y),Chronological subdivision - 7 (650 $y),Content type term (336 $a),Corporate name or jurisdiction name as entry element (710 $a),Country (008/15-17),Date of manufacture (264 $c),Date/Time of an Event (033 $a),Devised title (245 $a),Extent (300 $a),Form of item (008/23),Geographic subdivision - 1 (650 $z),Geographic subdivision - 2 (650 $z),Geographic subdivision - 3 (650 $z),Geographic subdivision - 4 (650 $z),Geographic subdivision - 5 (650 $z),Geographic subdivision - 6 (650 $z),Geographic subdivision - 7 (650 $z),Language (008/35-37),Link text (856 $y),Manufacturer (264 $b),Media type term (337 $a),Other title - 1 (246 $a),Other title - 10 (246 $a),Other title - 11 (246 $a),Other title - 12 (246 $a),Other title - 13 (246 $a),Other title - 2 (246 $a),Other title - 3 (246 $a),Other title - 4 (246 $a),Other title - 5 (246 $a),Other title - 6 (246 $a),Other title - 7 (246 $a),Other title - 8 (246 $a),Other title - 9 (246 $a),Place of manufacture (264 $a),Relator term (710 $e),Source (336 $2),Source (337 $2),Source (338 $2),Title statement of original (534 $t),Topical term or geographic name entry element - 1 (650 $a),Topical term or geographic name entry element - 2 (650 $a),Topical term or geographic name entry element - 3 (650 $a),Topical term or geographic name entry element - 4 (650 $a),Topical term or geographic name entry element - 5 (650 $a),Topical term or geographic name entry element - 6 (650 $a),Topical term or geographic name entry element - 7 (650 $a)
450,,online resource,1853.0,1853.0,1853.0,,,,,text,British Library Playbills Project,enk,[2018],1857,"[Miscellaneous Plymouth theatres playbill for The Omnibus; Or, a Convenient Distance; Richard Coeur De Lion; As You Like It; Or, the Forest of Arden; Time Tries All; Gilderoy, or the Bonnie Boy; Uncle Tom's Cabin]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,"The Omnibus; Or, a Convenient Distance",,,,,Richard Coeur De Lion,"As You Like It; Or, the Forest of Arden",Time Tries All,"Gilderoy, or the Bonnie Boy",Uncle Tom's Cabin,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for The Omnibus; Or, a Convenient Distance; Richard Coeur De Lion; As You Like It; Or, the Forest of Arden; Time Tries All; Gilderoy, or the Bonnie Boy; Uncle Tom's Cabin]",Farce,Christmas Burlesque,Comedy,,,,
451,,online resource,1835.0,1835.0,,,,,,text,British Library Playbills Project,enk,[2018],1873,[Miscellaneous Plymouth theatres playbill for She Stoops to Conquer; The Unfinished Gentleman],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,She Stoops to Conquer,,,,,The Unfinished Gentleman,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for She Stoops to Conquer; The Unfinished Gentleman],Comedy,Farce,,,,,
452,,online resource,1838.0,1838.0,1838.0,,,,,text,British Library Playbills Project,enk,[2018],1844,"[Miscellaneous Plymouth theatres playbill for Rosina; Rosina; John Bull Or, the Englishman's Fireside]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Rosina,,,,,Rosina,"John Bull Or, the Englishman's Fireside",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Rosina; Rosina; John Bull Or, the Englishman's Fireside]",Musical Farce,Comedy,Musical Farce,,,,
453,,online resource,1836.0,1836.0,1836.0,,,,,text,British Library Playbills Project,enk,[2018],1849,[Miscellaneous Plymouth theatres playbill for Jewess; Uncle John; Uncle John],1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Jewess,,,,,Uncle John,Uncle John,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Jewess; Uncle John; Uncle John],Petite Comedy,Historical Drama,Petite Comedy,,,,
454,,online resource,1813.0,1813.0,1813.0,,,,,text,British Library Playbills Project,enk,[2018],1824,"[Miscellaneous Plymouth theatres playbill for Mazeppa Or, the Wild Horse of the Desert. And the Cataract of the Ganges; Family Ja; Cataract of the Ganges; Mazeppa Or, the Wild Horse of the Desert; Captain Steve Or, the Adventures of a Poodle Collar; My Wife's Second F; Herculean Wonder]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,"Mazeppa Or, the Wild Horse of the Desert. And the Cataract of the Ganges",,,,,Family Ja,Cataract of the Ganges,"Mazeppa Or, the Wild Horse of the Desert","Captain Steve Or, the Adventures of a Poodle Collar",My Wife's Second F,Herculean Wonder,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Mazeppa Or, the Wild Horse of the Desert. And the Cataract of the Ganges; Family Ja; Cataract of the Ganges; Mazeppa Or, the Wild Horse of the Desert; Captain Steve Or, the Adventures of a Poodle Collar; My Wife's Second F; Herculean Wonder]",Farce,Equestrian Dramatic Spectacle,Eastern Spectacles,,,,
455,,online resource,1845.0,,,,,,,text,British Library Playbills Project,enk,[2018],1886,"[Miscellaneous Plymouth theatres playbill for Love in a Village; The Lady of Lyons; Mother Goose Or, Harlequin and the Golden Egg]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Love in a Village,,,,,The Lady of Lyons,"Mother Goose Or, Harlequin and the Golden Egg",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Love in a Village; The Lady of Lyons; Mother Goose Or, Harlequin and the Golden Egg]",Comic Opera,,,,,,
456,,online resource,1836.0,1836.0,1836.0,1836.0,,,,text,British Library Playbills Project,enk,[2018],1865,"[Miscellaneous Plymouth theatres playbill for Charles Xii; Charles Xii; The Review!!! Or, the Merry Wags of Windsor; The Review!!! Or, the Merry Wags of Windsor]",1 online resource,s,Plymouth,Plymouth,Plymouth,Plymouth,,,,eng,digitised sheet,[British Library],computer,Charles Xii,,,,,Charles Xii,"The Review!!! Or, the Merry Wags of Windsor","The Review!!! Or, the Merry Wags of Windsor",,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Charles Xii; Charles Xii; The Review!!! Or, the Merry Wags of Windsor; The Review!!! Or, the Merry Wags of Windsor]",Historical Drama,Musical Farce,Historical Drama,Musical Farce,,,
457,,online resource,1836.0,1836.0,,,,,,text,British Library Playbills Project,enk,[2018],1868,[Miscellaneous Plymouth theatres playbill for Hunchback; The Waterman],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Hunchback,,,,,The Waterman,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Hunchback; The Waterman],Play,Musical Entertainment,,,,,
458,,online resource,1837.0,1837.0,,,,,,text,British Library Playbills Project,enk,[2018],1853,[Miscellaneous Plymouth theatres playbill for The Scholar; Rob Roy],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,The Scholar,,,,,Rob Roy,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Scholar; Rob Roy],Farce,Operatic Play,,,,,
459,,online resource,1836.0,1836.0,,,,,,text,British Library Playbills Project,enk,[2018],1857,[Miscellaneous Plymouth theatres playbill for Othello Travestie; Hunchback],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Othello Travestie,,,,,Hunchback,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Othello Travestie; Hunchback],Play,Burlesque Burletta,,,,,
460,,online resource,,,,,,,,text,British Library Playbills Project,enk,[2018],1847,[Miscellaneous Plymouth theatres playbill for Blue Devils; Jewess; Blue Devils],1 online resource,s,,,,,,,,eng,digitised sheet,[British Library],computer,Blue Devils,,,,,Jewess,Blue Devils,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Blue Devils; Jewess; Blue Devils],,,,,,,
461,,online resource,,,,,,,,text,British Library Playbills Project,enk,[2018],1862,[Miscellaneous Plymouth theatres playbill for British Army Quadrille],1 online resource,s,,,,,,,,eng,digitised sheet,[British Library],computer,British Army Quadrille,,,,,,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for British Army Quadrille],,,,,,,
462,,online resource,1836.0,1836.0,,,,,,text,British Library Playbills Project,enk,[2018],1868,[Miscellaneous Plymouth theatres playbill for The Warlock of the Glen; The Belle's Stratagem],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,The Warlock of the Glen,,,,,The Belle's Stratagem,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Warlock of the Glen; The Belle's Stratagem],Comedy,Melodrama,,,,,
463,,online resource,1839.0,1839.0,,,,,,text,British Library Playbills Project,enk,[2018],1859,[Miscellaneous Plymouth theatres playbill for Little Tiger; Virginius],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Little Tiger,,,,,Virginius,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Little Tiger; Virginius],Farce,Tragedy,,,,,
464,,online resource,1846.0,1846.0,,,,,,text,British Library Playbills Project,enk,[2018],1872,"[Miscellaneous Plymouth theatres playbill for Miller & His Men; Zara, the Gipsy]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Miller & His Men,,,,,"Zara, the Gipsy",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Miller & His Men; Zara, the Gipsy]",Romantic Drama,Romantic Drama,,,,,
465,,online resource,1836.0,1836.0,,,,,,text,British Library Playbills Project,enk,[2018],1874,"[Miscellaneous Plymouth theatres playbill for Sea!! Or, the Ocean Child; George Barnwell; England, Scotland, and Ireland]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,"Sea!! Or, the Ocean Child",,,,,George Barnwell,"England, Scotland, and Ireland",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Sea!! Or, the Ocean Child; George Barnwell; England, Scotland, and Ireland]",Tragedy,Nautical Drama,,,,,
466,,online resource,1835.0,1835.0,,,,,,text,British Library Playbills Project,enk,[2018],1876,[Miscellaneous Plymouth theatres playbill for Esmeralda!! Or the Deformed of Notre Dame; Tekeli!! Or the Siege of Montgatz],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Esmeralda!! Or the Deformed of Notre Dame,,,,,Tekeli!! Or the Siege of Montgatz,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Esmeralda!! Or the Deformed of Notre Dame; Tekeli!! Or the Siege of Montgatz],Melodrama,Drama,,,,,
467,,online resource,1846.0,1846.0,1846.0,,,,,text,British Library Playbills Project,enk,[2018],1868,"[Miscellaneous Plymouth theatres playbill for Is He Jealous; Momentous Question; Joan of Arc Or, the Maid of Orleans]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Is He Jealous,,,,,Momentous Question,"Joan of Arc Or, the Maid of Orleans",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Is He Jealous; Momentous Question; Joan of Arc Or, the Maid of Orleans]",Domestic Drama,Historical Melo-Drama,Comic Interlude,,,,
468,,online resource,1846.0,1846.0,,,,,,text,British Library Playbills Project,enk,[2018],1849,"[Miscellaneous Plymouth theatres playbill for Mother Goose Or, Harlequin and the Golden Egg; Guy Mannering; Or, the Gipsy's Prophecy]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,"Mother Goose Or, Harlequin and the Golden Egg",,,,,"Guy Mannering; Or, the Gipsy's Prophecy",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Mother Goose Or, Harlequin and the Golden Egg; Guy Mannering; Or, the Gipsy's Prophecy]",Comic Opera,Grand Comic Pantomime,,,,,
469,,online resource,1835.0,,,,,,,text,British Library Playbills Project,enk,[2018],1848,[Miscellaneous Plymouth theatres playbill for A Roland for an Oliver; Esmeralda!! Or the Deformed of Notre Dame],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,A Roland for an Oliver,,,,,Esmeralda!! Or the Deformed of Notre Dame,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for A Roland for an Oliver; Esmeralda!! Or the Deformed of Notre Dame],Drama,,,,,,
470,,online resource,1836.0,1836.0,,,,,,text,British Library Playbills Project,enk,[2018],1843,[Miscellaneous Plymouth theatres playbill for Charles 12th; The Soldier's Daughter],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Charles 12th,,,,,The Soldier's Daughter,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Charles 12th; The Soldier's Daughter],Historical Drama,Comedy,,,,,
471,,online resource,1836.0,1836.0,,,,,,text,British Library Playbills Project,enk,[2018],1845,[Miscellaneous Plymouth theatres playbill for My Old Woman!! Or Love in Wrinkles; Wreck Ashore: Or a Bridegroom From the Sea],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,My Old Woman!! Or Love in Wrinkles,,,,,Wreck Ashore: Or a Bridegroom From the Sea,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for My Old Woman!! Or Love in Wrinkles; Wreck Ashore: Or a Bridegroom From the Sea],Drama,Petite Comedy,,,,,
472,,online resource,1836.0,1836.0,1836.0,1836.0,,,,text,British Library Playbills Project,enk,[2018],1858,"[Miscellaneous Plymouth theatres playbill for Simpson and Co; Blue Devils; Simpson and Co; Vol-Au-Vent Or, a Night's Adventures; Tight Rope]",1 online resource,s,Plymouth,Plymouth,Plymouth,Plymouth,,,,eng,digitised sheet,[British Library],computer,Simpson and Co,,,,,Blue Devils,Simpson and Co,"Vol-Au-Vent Or, a Night's Adventures",Tight Rope,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Simpson and Co; Blue Devils; Simpson and Co; Vol-Au-Vent Or, a Night's Adventures; Tight Rope]",Farce,Ballet Pantomime,Piece,Farce,,,
473,,online resource,1845.0,,,,,,,text,British Library Playbills Project,enk,[2018],1873,[Miscellaneous Plymouth theatres playbill for The Bath Road; Les Danseuses Viennoises; Pas De Fleurs; A Grand Pas Hongrois; A Grand Pas Oriental; The Sleeping Draught],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,The Bath Road,,,,,Les Danseuses Viennoises,Pas De Fleurs,A Grand Pas Hongrois,A Grand Pas Oriental,The Sleeping Draught,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Bath Road; Les Danseuses Viennoises; Pas De Fleurs; A Grand Pas Hongrois; A Grand Pas Oriental; The Sleeping Draught],Petite Comedietta,,,,,,
474,,online resource,1836.0,1836.0,,,,,,text,British Library Playbills Project,enk,[2018],1844,[Miscellaneous Plymouth theatres playbill for The Foundling of the Forest!!! Or the Unknown Female; The Sergeant's Wife],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,The Foundling of the Forest!!! Or the Unknown Female,,,,,The Sergeant's Wife,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Foundling of the Forest!!! Or the Unknown Female; The Sergeant's Wife],Romantic Drama,Play,,,,,
475,,online resource,1846.0,1846.0,,,,,,text,British Library Playbills Project,enk,[2018],1851,"[Miscellaneous Plymouth theatres playbill for William Tell, the Swiss Patriot; The Eton Boy; The Thimble Rig]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,"William Tell, the Swiss Patriot",,,,,The Eton Boy,The Thimble Rig,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for William Tell, the Swiss Patriot; The Eton Boy; The Thimble Rig]",Historical Play,Comedietta,,,,,
476,,online resource,1839.0,1839.0,1839.0,1839.0,,,,text,British Library Playbills Project,enk,[2018],1863,[Miscellaneous Plymouth theatres playbill for Hunting a Turtle; Bombastes Furioso; Rob Roy; The King's Page; The Ladies' Man],1 online resource,s,Plymouth,Plymouth,Plymouth,Plymouth,,,,eng,digitised sheet,[British Library],computer,Hunting a Turtle,,,,,Bombastes Furioso,Rob Roy,The King's Page,The Ladies' Man,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Hunting a Turtle; Bombastes Furioso; Rob Roy; The King's Page; The Ladies' Man],Burlesque Comic Opera,Historical Drama,Farce,Play,,,
477,,online resource,1836.0,1836.0,1836.0,1836.0,1836.0,,,text,British Library Playbills Project,enk,[2018],1850,"[Miscellaneous Plymouth theatres playbill for Is He Jealous; Gustavus the Third; Is He Jealous; The Youthful Queen, or Christine of Sweden]",1 online resource,s,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,,,eng,digitised sheet,[British Library],computer,Is He Jealous,,,,,Gustavus the Third,Is He Jealous,"The Youthful Queen, or Christine of Sweden",,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Is He Jealous; Gustavus the Third; Is He Jealous; The Youthful Queen, or Christine of Sweden]",Romantic Drama,Petite Comedy,Interlude,Masquerade,Interlude,,
478,,online resource,1835.0,1835.0,1835.0,,,,,text,British Library Playbills Project,enk,[2018],1876,[Miscellaneous Plymouth theatres playbill for Is He Jealous; Esmeralda!! Or the Deformed of Notre Dame; Esmeralda!! Or the Deformed of Notre Dame; The Illustrious Stranger],1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Is He Jealous,,,,,Esmeralda!! Or the Deformed of Notre Dame,Esmeralda!! Or the Deformed of Notre Dame,The Illustrious Stranger,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Is He Jealous; Esmeralda!! Or the Deformed of Notre Dame; Esmeralda!! Or the Deformed of Notre Dame; The Illustrious Stranger],Drama,Drama,Farce,,,,
479,,online resource,1853.0,,,,,,,text,British Library Playbills Project,enk,[2018],1871,[Miscellaneous Plymouth theatres playbill for A Night With Uncle Tom; Uncle Tom's Cabin. The First Part; Flight of Eliza Across the Ice; Uncle Tom's Happy Death; The Second Part],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,A Night With Uncle Tom,,,,,Uncle Tom's Cabin. The First Part,Flight of Eliza Across the Ice,Uncle Tom's Happy Death,The Second Part,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for A Night With Uncle Tom; Uncle Tom's Cabin. The First Part; Flight of Eliza Across the Ice; Uncle Tom's Happy Death; The Second Part],Drama,,,,,,
480,,online resource,1836.0,,,,,,,text,British Library Playbills Project,enk,[2018],1864,"[Miscellaneous Plymouth theatres playbill for Love, Law, and Physic; The Stranger]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,"Love, Law, and Physic",,,,,The Stranger,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Love, Law, and Physic; The Stranger]",Play,,,,,,
481,,online resource,1835.0,,,,,,,text,British Library Playbills Project,enk,[2018],1869,[Miscellaneous Plymouth theatres playbill for Gustavus 3rd or the Masked Ball; Dwelling of the Sorceress; Sleep Walker],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Gustavus 3rd or the Masked Ball,,,,,Dwelling of the Sorceress,Sleep Walker,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Gustavus 3rd or the Masked Ball; Dwelling of the Sorceress; Sleep Walker],Historical Drama,,,,,,
482,,online resource,1837.0,1837.0,1837.0,,,,,text,British Library Playbills Project,enk,[2018],1869,"[Miscellaneous Plymouth theatres playbill for My Wife, What Wife Or, Am I Married; The Man With the Carpet Bag]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,"My Wife, What Wife Or, Am I Married",,,,,The Man With the Carpet Bag,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for My Wife, What Wife Or, Am I Married; The Man With the Carpet Bag]",Comedy,Farce,Comic Interlude,,,,
483,,online resource,1846.0,1846.0,,,,,,text,British Library Playbills Project,enk,[2018],1856,"[Miscellaneous Plymouth theatres playbill for My Fellow Clerk; The Green Bushes; Or, a Hundred Years Ago]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,My Fellow Clerk,,,,,"The Green Bushes; Or, a Hundred Years Ago",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for My Fellow Clerk; The Green Bushes; Or, a Hundred Years Ago]",Farce,Drama,,,,,
484,,online resource,1836.0,1836.0,,,,,,text,British Library Playbills Project,enk,[2018],1877,"[Miscellaneous Plymouth theatres playbill for Victorine; The Sea!! Or, the Ocean Child]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Victorine,,,,,"The Sea!! Or, the Ocean Child",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Victorine; The Sea!! Or, the Ocean Child]",Nautical Drama,Drama,,,,,
485,,online resource,1836.0,,,,,,,text,British Library Playbills Project,enk,[2018],1847,[Miscellaneous Plymouth theatres playbill for Immolation of the Jewess; Love Laughs at Locksmiths; The Jewess],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Immolation of the Jewess,,,,,Love Laughs at Locksmiths,The Jewess,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Immolation of the Jewess; Love Laughs at Locksmiths; The Jewess],Musical Entertainment,,,,,,
486,,online resource,1838.0,1838.0,,,,,,text,British Library Playbills Project,enk,[2018],1857,[Miscellaneous Plymouth theatres playbill for Loan of a Lover; The Dice of Death; The Village Lawyer],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Loan of a Lover,,,,,The Dice of Death,The Village Lawyer,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Loan of a Lover; The Dice of Death; The Village Lawyer],Farce,Melo-Drama,,,,,
487,,online resource,1835.0,1835.0,,,,,,text,British Library Playbills Project,enk,[2018],1857,[Miscellaneous Plymouth theatres playbill for Ellen Wareham; My Friend the Governor or the Fifteenth of June; Raising the Wind],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Ellen Wareham,,,,,My Friend the Governor or the Fifteenth of June,Raising the Wind,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Ellen Wareham; My Friend the Governor or the Fifteenth of June; Raising the Wind],Comedietta,Drama,,,,,
488,,online resource,1835.0,1835.0,1835.0,,,,,text,British Library Playbills Project,enk,[2018],1860,[Miscellaneous Plymouth theatres playbill for The Magpie: Or the Maid; Short Reign and a Merry One; 102! Or the Veteran and His Progeny; The Weathercock],1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,The Magpie: Or the Maid,,,,,Short Reign and a Merry One,102! Or the Veteran and His Progeny,The Weathercock,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Magpie: Or the Maid; Short Reign and a Merry One; 102! Or the Veteran and His Progeny; The Weathercock],Petite Comedy,Dramatic Sketch,Farce,,,,
489,,online resource,1846.0,1846.0,,,,,,text,British Library Playbills Project,enk,[2018],1879,[Miscellaneous Plymouth theatres playbill for Romeo and Juliet; The Fair One With the Golden Locks],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Romeo and Juliet,,,,,The Fair One With the Golden Locks,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Romeo and Juliet; The Fair One With the Golden Locks],Tragedy,Comedy,,,,,
490,,online resource,1836.0,1836.0,1836.0,,,,,text,British Library Playbills Project,enk,[2018],1852,"[Miscellaneous Plymouth theatres playbill for Pedlars Acre Or, the Wife of Seven Husbands; The Roman Actor Or, the Drama's Vindication; The Irish Valet, or More Blunders Than One]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,"Pedlars Acre Or, the Wife of Seven Husbands",,,,,"The Roman Actor Or, the Drama's Vindication","The Irish Valet, or More Blunders Than One",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Pedlars Acre Or, the Wife of Seven Husbands; The Roman Actor Or, the Drama's Vindication; The Irish Valet, or More Blunders Than One]",Play,Historical Drama,Farce,,,,
491,,online resource,1837.0,1837.0,,,,,,text,British Library Playbills Project,enk,[2018],1858,[Miscellaneous Plymouth theatres playbill for The Wrong Box; The Jealous Wife; The Wrong Box],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,The Wrong Box,,,,,The Jealous Wife,The Wrong Box,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Wrong Box; The Jealous Wife; The Wrong Box],Comedy,Farce,,,,,
492,,online resource,1852.0,1852.0,,,,,,text,British Library Playbills Project,enk,[2018],1887,"[Miscellaneous Plymouth theatres playbill for Henry Iv; Clari, the Maid of Milan; Henry Iv]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Henry Iv,,,,,"Clari, the Maid of Milan",Henry Iv,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Henry Iv; Clari, the Maid of Milan; Henry Iv]",Domestic Drama,Play,,,,,
493,,online resource,1836.0,1836.0,,,,,,text,British Library Playbills Project,enk,[2018],1876,"[Miscellaneous Plymouth theatres playbill for The Wife Or, a Tale of Mantua; The Spectre Bridegroom]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,"The Wife Or, a Tale of Mantua",,,,,The Spectre Bridegroom,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for The Wife Or, a Tale of Mantua; The Spectre Bridegroom]",Farce,Play,,,,,
494,,online resource,1848.0,1848.0,,,,,,text,British Library Playbills Project,enk,[2018],1864,"[Miscellaneous Plymouth theatres playbill for Catching an Heiress; Catching an Heiress; Jack Robinson and His Monkey! Or, the Mutineers of ""The Santa Maria]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Catching an Heiress,,,,,Catching an Heiress,"Jack Robinson and His Monkey! Or, the Mutineers of ""The Santa Maria",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Catching an Heiress; Catching an Heiress; Jack Robinson and His Monkey! Or, the Mutineers of ""The Santa Maria]",Drama,Drama,,,,,
495,,online resource,1839.0,1839.0,1839.0,,,,,text,British Library Playbills Project,enk,[2018],1857,"[Miscellaneous Plymouth theatres playbill for Raising the Wind; The Charming Polly: Or, Lucky and Unlucky Events; The Lottery Ticket]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Raising the Wind,,,,,"The Charming Polly: Or, Lucky and Unlucky Events",The Lottery Ticket,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Raising the Wind; The Charming Polly: Or, Lucky and Unlucky Events; The Lottery Ticket]",Interlude,Drama,Farce,,,,
